time,Speed,windVx,windVy,Total
2022-12-14 21:00:00+00:00,13.85824,-0.38268343236508956,0.9238795325112868,22.44216922777778
2022-12-15 00:00:00+00:00,11.176,-0.38268343236508956,0.9238795325112868,9.536771799999999
2022-12-15 03:00:00+00:00,11.176,-2.4492935982947064e-16,1.0,6.730763138888888
2022-12-15 06:00:00+00:00,8.9408,-0.38268343236508956,0.9238795325112868,5.817125061111112
2022-12-15 09:00:00+00:00,5.81152,-2.4492935982947064e-16,1.0,10.927672438888889
2022-12-15 12:00:00+00:00,12.070079999999999,-2.4492935982947064e-16,1.0,13.907721366666667
2022-12-15 15:00:00+00:00,7.15264,-0.38268343236508956,0.9238795325112868,8.829913755555555
2022-12-15 18:00:00+00:00,8.04672,-0.7071067811865477,0.7071067811865474,8.035903894444443
2022-12-15 21:00:00+00:00,4.02336,0.3826834323650898,0.9238795325112867,7.431480816666667
2022-12-16 00:00:00+00:00,7.15264,0.3826834323650898,0.9238795325112867,8.872105027777778
2022-12-16 03:00:00+00:00,7.15264,-2.4492935982947064e-16,1.0,3.9447879222222224
2022-12-16 06:00:00+00:00,5.81152,0.7071067811865475,0.7071067811865476,1.35703725
2022-12-16 09:00:00+00:00,7.15264,0.7071067811865475,0.7071067811865476,1.4048533833333332
2022-12-16 12:00:00+00:00,1.78816,1.2246467991473532e-16,-1.0,1.7648269222222221
2022-12-16 15:00:00+00:00,4.91744,0.3826834323650899,-0.9238795325112867,3.7514354111111112
2022-12-16 18:00:00+00:00,4.91744,1.2246467991473532e-16,-1.0,8.05205957777778
2022-12-16 21:00:00+00:00,4.91744,-0.3826834323650892,-0.923879532511287,10.741351105555555
2022-12-17 00:00:00+00:00,5.81152,1.2246467991473532e-16,-1.0,19.89643221111111
2022-12-17 03:00:00+00:00,9.83488,-0.7071067811865475,-0.7071067811865477,31.3588716
2022-12-17 06:00:00+00:00,9.83488,-0.3826834323650892,-0.923879532511287,34.75163333333333
2022-12-17 09:00:00+00:00,7.15264,-0.7071067811865475,-0.7071067811865477,35.88131683333333
2022-12-17 12:00:00+00:00,8.9408,-0.7071067811865475,-0.7071067811865477,33.78286581666667
2022-12-17 15:00:00+00:00,12.070079999999999,-0.9238795325112866,0.38268343236509,33.07663235
2022-12-17 18:00:00+00:00,12.96416,-0.38268343236508956,0.9238795325112868,22.65186697777778
2022-12-17 21:00:00+00:00,9.83488,-0.7071067811865477,0.7071067811865474,9.697155405555556
2022-12-18 00:00:00+00:00,3.12928,0.3826834323650898,0.9238795325112867,1.9160160611111112
2022-12-18 03:00:00+00:00,1.78816,-0.7071067811865475,-0.7071067811865477,3.475056083333333
2022-12-18 06:00:00+00:00,3.12928,0.9238795325112867,-0.3826834323650897,16.805869594444445
2022-12-18 09:00:00+00:00,8.9408,0.9238795325112867,-0.3826834323650897,32.17264452222222
2022-12-18 12:00:00+00:00,12.070079999999999,0.7071067811865476,-0.7071067811865475,33.09019722222222
2022-12-18 15:00:00+00:00,12.96416,0.7071067811865476,-0.7071067811865475,35.48243736111111
2022-12-18 18:00:00+00:00,15.19936,0.7071067811865476,-0.7071067811865475,37.19025386111111
2022-12-18 21:00:00+00:00,17.8816,0.7071067811865476,-0.7071067811865475,37.04538413333333
2022-12-19 00:00:00+00:00,16.98752,0.3826834323650899,-0.9238795325112867,37.30732503333333
2022-12-19 03:00:00+00:00,16.98752,0.3826834323650899,-0.9238795325112867,37.453925672222226
2022-12-19 06:00:00+00:00,15.19936,0.3826834323650899,-0.9238795325112867,35.043053505555555
2022-12-19 09:00:00+00:00,12.96416,0.3826834323650899,-0.9238795325112867,32.62105828333333
2022-12-19 12:00:00+00:00,9.83488,0.3826834323650899,-0.9238795325112867,27.96813898888889
2022-12-19 15:00:00+00:00,8.9408,0.3826834323650899,-0.9238795325112867,30.309763244444447
2022-12-19 18:00:00+00:00,8.04672,1.2246467991473532e-16,-1.0,32.61642885
2022-12-19 21:00:00+00:00,12.070079999999999,-0.7071067811865475,-0.7071067811865477,31.97994655
2022-12-20 00:00:00+00:00,11.176,-0.7071067811865475,-0.7071067811865477,28.356780444444443
2022-12-20 03:00:00+00:00,8.9408,-0.3826834323650892,-0.923879532511287,34.16758780898876
2022-12-20 06:00:00+00:00,11.176,1.2246467991473532e-16,-1.0,30.328034283333334
2022-12-20 09:00:00+00:00,9.83488,1.2246467991473532e-16,-1.0,26.091430366666664
2022-12-20 12:00:00+00:00,8.04672,1.2246467991473532e-16,-1.0,20.99155687777778
2022-12-20 15:00:00+00:00,8.04672,1.2246467991473532e-16,-1.0,27.71779127932961
2022-12-20 18:00:00+00:00,8.9408,1.2246467991473532e-16,-1.0,32.64868903333333
2022-12-20 21:00:00+00:00,9.83488,1.2246467991473532e-16,-1.0,34.11744011666667
2022-12-21 00:00:00+00:00,12.070079999999999,1.2246467991473532e-16,-1.0,33.05737356111111
2022-12-21 03:00:00+00:00,8.9408,1.2246467991473532e-16,-1.0,31.816454222222223
2022-12-21 06:00:00+00:00,9.83488,1.2246467991473532e-16,-1.0,28.12320601111111
2022-12-21 09:00:00+00:00,9.83488,1.2246467991473532e-16,-1.0,23.47326042222222
2022-12-21 12:00:00+00:00,7.15264,0.7071067811865476,-0.7071067811865475,5.688277005555555
2022-12-21 15:00:00+00:00,3.12928,0.3826834323650899,-0.9238795325112867,1.7351810166666666
2022-12-21 18:00:00+00:00,4.02336,0.9238795325112867,-0.3826834323650897,1.3048538685714286
